KodePajak;KodeTransaksi;KodeStatus;KodeDokumen;FlagVAT;NPWP / Nomor Paspor;Lawan Transaksi;Nomor Faktur / Dokumen;Jenis Dokumen;Nomor Faktur Pengganti / Retur;Jenis Dokumen Dokumen Pengganti / Retur;Tanggal Faktur / Dokumen;TanggalSSP;MasaPajak;TahunPajak;Pembetulan;DPP;PPN;PPnBM
B;2;1;1;0;016825721641000;PT.BORWITA CITRA PRIMA;010.900-13.72061720;0;;;13/07/2013;;0707;2013;1;975799;97579;0
B;2;1;1;0;016825721641000;PT.BORWITA CITRA PRIMA;010.900-13.72061709;0;;;13/07/2013;;0707;2013;1;1581596;158159;0
B;2;1;1;0;016825721641000;PT.BORWITA CITRA PRIMA;010.900-13.72084636;0;;;16/07/2013;;0707;2013;1;1117661;111766;0
B;2;1;1;0;016825721641000;PT.BORWITA CITRA PRIMA;010.900-13.72085411;0;;;16/07/2013;;0707;2013;1;868926;86892;0
B;2;1;1;0;016825721641000;PT.BORWITA CITRA PRIMA;010.900-13.72085416;0;;;16/07/2013;;0707;2013;1;1270515;127051;0
B;2;1;1;0;016825721641000;PT.BORWITA CITRA PRIMA;010.900-13.72085407;0;;;16/07/2013;;0707;2013;1;1871275;187127;0
B;2;1;1;0;016825721641000;PT.BORWITA CITRA PRIMA;010.900-13.71945749;0;;;04/07/2013;;0707;2013;1;1897646;189764;0
B;2;1;1;0;016825721641000;PT.BORWITA CITRA PRIMA;010.900-13.71956784;0;;;05/07/2013;;0707;2013;1;909091;90909;0
B;2;1;1;0;016825721641000;PT.BORWITA CITRA PRIMA;010.900-13.71972390;0;;;06/07/2013;;0707;2013;1;1298722;129872;0
B;2;1;1;0;016825721641000;PT.BORWITA CITRA PRIMA;010.900-13.71972914;0;;;06/07/2013;;0707;2013;1;1224846;122484;0
B;2;1;1;0;016825721641000;PT.BORWITA CITRA PRIMA;010.900-13.71972923;0;;;06/07/2013;;0707;2013;1;983517;98351;0
B;2;1;1;0;016825721641000;PT.BORWITA CITRA PRIMA;010.900-13.71929743;0;;;03/07/2013;;0707;2013;1;1865410;186541;0
B;2;1;1;0;016825721641000;PT.BORWITA CITRA PRIMA;010.900-13.71929749;0;;;03/07/2013;;0707;2013;1;2161806;216180;0
B;2;1;1;0;016825721641000;PT.BORWITA CITRA PRIMA;010.900-13.71929741;0;;;03/07/2013;;0707;2013;1;1664403;166440;0
B;2;1;1;0;013706080092000;PT. INBISCO NIAGATAMA SEMESTA;010.900-13.56516804;0;;;05/07/2013;;0707;2013;1;1853091;185309;0
B;2;1;1;0;013706080092000;PT. INBISCO NIAGATAMA SEMESTA;010.900-13.56516805;0;;;05/07/2013;;0707;2013;1;3188000;318800;0
B;2;1;1;0;013706080092000;PT. INBISCO NIAGATAMA SEMESTA;010.900-13.56516806;0;;;05/07/2013;;0707;2013;1;2448400;244840;0
B;2;1;1;0;013706080092000;PT. INBISCO NIAGATAMA SEMESTA;010.900-13.56527902;0;;;12/07/2013;;0707;2013;1;1655910;165591;0
B;2;1;1;0;013706080092000;PT. INBISCO NIAGATAMA SEMESTA;010.900-13.56527903;0;;;12/07/2013;;0707;2013;1;409546;40954;0
B;2;1;1;0;013706080092000;PT. INBISCO NIAGATAMA SEMESTA;010.900-13.56527948;0;;;12/07/2013;;0707;2013;1;2397182;239718;0
B;2;1;1;0;013706080092000;PT. INBISCO NIAGATAMA SEMESTA;010.900-13.56527947;0;;;12/07/2013;;0707;2013;1;1986364;198636;0
B;2;1;1;0;013706080092000;PT. INBISCO NIAGATAMA SEMESTA;010.900-13.56538721;0;;;23/07/2013;;0707;2013;1;3109091;310909;0
B;2;1;1;0;013706080092000;PT. INBISCO NIAGATAMA SEMESTA;010.900-13.56535418;0;;;19/07/2013;;0707;2013;1;2815282;281528;0
B;2;1;1;0;013706080092000;PT. INBISCO NIAGATAMA SEMESTA;010.900-13.56535416;0;;;19/07/2013;;0707;2013;1;4383091;438309;0
B;2;1;1;0;013706080092000;PT. INBISCO NIAGATAMA SEMESTA;010.900-13.56535417;0;;;19/07/2013;;0707;2013;1;1735410;173541;0
B;2;1;1;0;013706080092000;PT. INBISCO NIAGATAMA SEMESTA;010.900-13.56539267;0;;;27/07/2013;;0707;2013;1;3325172;332517;0
